sourceDB,sourceCollection,sourceFieldLocation,sourceDataType,destinationTable,destinationField,destinationDataType,function
test_data,many_sources_same_path_to_target,field1,string,many_sources_same_path_to_target,target_column1,string,
test_data,many_sources_same_path_to_target,field1.a,string,many_sources_same_path_to_target,target_column1,string,
test_data,many_sources_same_path_to_target,field1.b,string,many_sources_same_path_to_target,target_column1,string,
test_data,many_sources_same_path_to_target,field2[0],string,many_sources_same_path_to_target,target_column2,int,
test_data,many_sources_same_path_to_target,field2[0].a,string,many_sources_same_path_to_target,target_column2,int,
test_data,many_sources_same_path_to_target,field4,string,many_sources_same_path_to_target,target_column1,string,
test_data,many_sources_same_path_to_target,field6[0],string,many_sources_same_path_to_target,target_column1,string,
test_data,many_sources_same_path_to_target,field7,string,many_sources_same_path_to_target,target_column2,int,
test_data,many_sources_same_path_to_target,field8[0],string,many_sources_same_path_to_target,target_column2,int,
test_data,many_sources_same_path_to_target,field8[0].b,string,many_sources_same_path_to_target,target_column2,int,
test_data,many_sources_same_path_to_target,field9,string,many_sources_same_path_to_target,target_column2,int,
